,0
0,-34.98376
1,-27.64594
2,260.4171
3,260.4171
4,260.4171
5,260.4171
6,272.24802
7,272.24802
8,272.24802
9,272.24802
10,272.24802
11,272.24802
12,272.24802
13,285.28412
14,285.28412
15,285.28412
16,293.29904
17,293.29904
18,293.29904
19,306.49106
20,323.91647
21,323.91647
22,323.91647
23,323.96533
24,323.96533
25,323.96533
26,323.96533
27,323.96533
28,323.96533
29,323.96533
30,323.96533
31,323.96533
32,324.20505
33,324.20505
34,324.20505
35,338.31116
36,338.31116
37,338.31116
38,338.31116
39,338.31116
40,338.33484
41,338.33484
42,338.33484
43,338.33484
44,338.33484
45,338.33484
46,338.33484
47,338.33484
48,338.33484
49,338.34998
50,338.34998
51,338.34998
52,338.34998
53,338.34998
54,338.34998
55,338.34998
56,338.34998
57,338.34998
58,338.34998
59,338.34998
60,338.34998
61,338.34998
62,338.34998
63,338.34998
64,338.34998
65,338.34998
66,338.34998
67,338.34998
68,338.34998
69,338.34998
70,338.34998
71,338.34998
72,338.34998
73,338.34998
74,338.34998
75,338.34998
76,338.34998
77,338.34998
78,338.34998
79,338.34998
80,338.34998
81,338.34998
82,338.34998
83,352.48416
84,352.48416
85,352.48416
86,352.48416
87,352.48416
88,352.48416
89,352.48416
90,352.48416
91,352.48416
92,352.48416
93,352.48416
94,352.48416
95,352.48416
96,352.48416
97,352.48416
98,352.48416
99,352.48416
